TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Erzurum;;;;;
Aþkale;;Erkek;Kadýn;Toplam;
Ortaokul veya dengi okul;;821;392;1.213;
Lise veya dengi okul;;1.536;655;2.191;
Yüksekokul veya fakülte;;495;290;785;
Yüksek lisans;;29;11;40;
Doktora;;6;6;12;
Bilinmeyen;;71;138;209;
Toplam;;6.677;6.835;13.512;
Tekman;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;528;2.246;2.774;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.064;1.726;2.790;
Ýlkokul;;2.129;1.391;3.520;
Ýlköðretim;;1.734;1.056;2.790;
Ortaokul veya dengi okul;;630;239;869;
Lise veya dengi okul;;924;296;1.220;
Yüksekokul veya fakülte;;432;297;729;
Yüksek lisans;;29;10;39;
Doktora;;3;1;4;
Bilinmeyen;;141;179;320;
Toplam;;7.614;7.441;15.055;
Tortum;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;172;1.179;1.351;
Okuma yazma bilen fakat bir okul bitirmeyen;;350;762;1.112;
Ýlkokul;;1.767;2.332;4.099;
Ýlköðretim;;595;572;1.167;
Ortaokul veya dengi okul;;714;265;979;
Lise veya dengi okul;;1.525;655;2.180;
Yüksekokul veya fakülte;;609;334;943;
Yüksek lisans;;37;17;54;
Doktora;;5;5;10;
Bilinmeyen;;15;42;57;
Toplam;;5.789;6.163;11.952;
Uzundere;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;97;528;625;
Okuma yazma bilen fakat bir okul bitirmeyen;;184;447;631;
Ýlkokul;;905;1.190;2.095;
Ýlköðretim;;408;332;740;
Ortaokul veya dengi okul;;315;164;479;
Lise veya dengi okul;;961;398;1.359;
Yüksekokul veya fakülte;;415;233;648;
Yüksek lisans;;32;13;45;
Doktora;;3;1;4;
Bilinmeyen;;8;11;19;
Toplam;;3.328;3.317;6.645;
Yakutiye;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;407;3.781;4.188;
Okuma yazma bilen fakat bir okul bitirmeyen;;790;3.393;4.183;
Ýlkokul;;6.607;16.407;23.014;
Ýlköðretim;;8.485;7.896;16.381;
Ortaokul veya dengi okul;;6.633;4.524;11.157;
Lise veya dengi okul;;19.652;12.947;32.599;
Yüksekokul veya fakülte;;11.818;8.608;20.426;
Yüksek lisans;;1.494;1.073;2.567;
Doktora;;1.049;428;1.477;
Bilinmeyen;;242;476;718;
Toplam;;57.177;59.533;116.710;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
