TÜRKÝYE ÝSTATÝSTÝK KURUMU;;;;;
;;;;;
MÝLLETVEKÝLÝ SEÇÝMÝ YURT ÝÇÝ SEÇMEN PROFÝLÝ VERÝ TABANI;;;;;
;;;;;
;;;;;
;;;;;
Seçmenlerin ilçe düzeyinde eðitim durumuna göre daðýlýmý;;;;;
Antalya;;;;;
Akseki;;Erkek;Kadýn;Toplam;
Yüksekokul veya fakülte;;12.106;11.361;23.467;
Yüksek lisans;;804;617;1.421;
Doktora;;124;80;204;
Bilinmeyen;;718;672;1.390;
Toplam;;81.891;77.230;159.121;
Muratpaþa;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;392;2.872;3.264;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.825;6.543;8.368;
Ýlkokul;;20.406;34.608;55.014;
Ýlköðretim;;19.292;14.514;33.806;
Ortaokul veya dengi okul;;15.239;13.739;28.978;
Lise veya dengi okul;;56.402;54.759;111.161;
Yüksekokul veya fakülte;;50.578;48.647;99.225;
Yüksek lisans;;4.446;4.124;8.570;
Doktora;;933;614;1.547;
Bilinmeyen;;2.352;2.963;5.315;
Toplam;;171.865;183.383;355.248;
Serik;;Erkek;Kadýn;Toplam;
Okuma yazma bilmeyen;;108;707;815;
Okuma yazma bilen fakat bir okul bitirmeyen;;1.389;5.301;6.690;
Ýlkokul;;10.442;13.349;23.791;
Ýlköðretim;;8.376;6.300;14.676;
Ortaokul veya dengi okul;;4.669;3.043;7.712;
Lise veya dengi okul;;13.078;8.511;21.589;
Yüksekokul veya fakülte;;6.005;5.121;11.126;
Yüksek lisans;;356;238;594;
Doktora;;42;43;85;
Bilinmeyen;;296;330;626;
Toplam;;44.761;42.943;87.704;
Not. Seçmenlerin eðitim durumu, Ulusal Eðitim Ýstatistikleri Veri Tabaný'ndan alýnmýþtýr.;;;;;
